assocprof,asstprof,prof,theoretical,applied,yrs.since.phd,yrs.service,female,salary
0,0,1,0,1,15,7,0,128400
0,0,1,0,1,26,19,0,126200
1,0,0,0,1,11,1,0,118700
0,0,1,0,1,16,11,0,145350
0,0,1,0,1,15,11,0,146000
1,0,0,0,1,29,22,0,105350
1,0,0,0,1,14,7,1,109650
0,0,1,0,1,13,11,0,119500
0,0,1,0,1,21,21,0,170000
0,0,1,0,1,23,10,0,145200
1,0,0,0,1,13,6,0,107150
0,0,1,0,1,34,20,0,129600
0,0,1,1,0,38,35,0,87800
0,0,1,1,0,20,20,0,122400
0,1,0,1,0,3,1,0,63900
1,0,0,1,0,9,7,0,70000
0,0,1,1,0,16,11,0,88175
0,0,1,1,0,39,38,0,133900
0,0,1,1,0,29,27,1,91000
1,0,0,1,0,26,24,1,73300
0,0,1,1,0,38,19,0,148750
0,0,1,1,0,36,19,1,117555
0,1,0,1,0,8,3,0,69700
0,0,1,1,0,28,17,0,81700
0,0,1,1,0,25,25,0,114000
0,1,0,1,0,7,6,1,63100
0,0,1,1,0,46,40,0,77202
0,0,1,1,0,19,6,0,96200
0,1,0,1,0,5,3,0,69200
0,0,1,1,0,31,30,0,122875
0,0,1,1,0,38,37,0,102600
0,0,1,1,0,23,23,0,108200
0,0,1,1,0,19,23,0,84273
0,0,1,1,0,17,11,1,90450
0,0,1,1,0,30,23,0,91100
0,0,1,1,0,21,18,0,101100
0,0,1,1,0,28,23,0,128800
0,0,1,1,0,29,7,0,204000
0,0,1,1,0,39,39,0,109000
0,0,1,1,0,20,8,0,102000
0,0,1,1,0,31,12,0,132000
0,1,0,1,0,4,2,1,77500
0,0,1,1,0,28,7,1,116450
1,0,0,1,0,12,8,0,83000
0,0,1,1,0,22,22,0,140300
1,0,0,1,0,30,23,0,74000
0,1,0,1,0,9,3,0,73800
0,0,1,1,0,32,30,0,92550
1,0,0,1,0,41,33,0,88600
0,0,1,1,0,45,45,0,107550
0,0,1,1,0,31,26,0,121200
0,0,1,1,0,31,31,0,126000
0,0,1,1,0,37,35,0,99000
0,0,1,1,0,36,30,0,134800
0,0,1,1,0,43,43,0,143940
0,0,1,1,0,14,10,0,104350
0,0,1,1,0,47,44,0,89650
0,0,1,1,0,13,7,0,103700
0,0,1,1,0,42,40,0,143250
0,0,1,1,0,42,18,0,194800
0,1,0,1,0,4,1,0,73000
0,1,0,1,0,8,4,0,74000
0,1,0,1,0,8,3,1,78500
0,0,1,1,0,12,6,0,93000
0,0,1,1,0,52,48,0,107200
0,0,1,1,0,31,27,0,163200
0,0,1,1,0,24,18,0,107100
0,0,1,1,0,46,46,0,100600
0,0,1,1,0,39,38,0,136500
0,0,1,1,0,37,27,0,103600
0,0,1,1,0,51,51,0,57800
0,0,1,1,0,45,43,0,155865
1,0,0,1,0,8,6,0,88650
1,0,0,1,0,49,49,0,81800
0,0,1,1,0,28,27,0,115800
0,1,0,1,0,2,0,0,85000
0,0,1,1,0,29,27,0,150500
0,1,0,1,0,8,5,0,74000
0,0,1,1,0,33,7,0,174500
0,0,1,1,0,32,28,0,168500
0,0,1,1,0,39,9,0,183800
1,0,0,1,0,11,1,0,104800
0,0,1,1,0,19,7,0,107300
0,0,1,1,0,40,36,0,97150
0,0,1,1,0,18,18,0,126300
0,0,1,1,0,17,11,0,148800
0,0,1,1,0,49,43,0,72300
1,0,0,1,0,45,39,0,70700
0,0,1,1,0,39,36,0,88600
0,0,1,1,0,27,16,0,127100
0,0,1,1,0,28,13,0,170500
0,0,1,1,0,14,4,0,105260
0,0,1,1,0,46,44,0,144050
0,0,1,1,0,33,31,0,111350
0,1,0,1,0,7,4,0,74500
0,0,1,1,0,31,28,0,122500
0,1,0,1,0,5,0,0,74000
0,0,1,1,0,22,15,0,166800
0,0,1,1,0,20,7,0,92050
0,0,1,1,0,14,9,0,108100
0,0,1,1,0,29,19,0,94350
0,0,1,1,0,35,35,0,100351
0,0,1,1,0,22,6,0,146800
0,1,0,0,1,6,3,0,84716
1,0,0,0,1,12,9,1,71065
0,0,1,0,1,46,45,0,67559
0,0,1,0,1,16,16,0,134550
0,0,1,0,1,16,15,0,135027
0,0,1,0,1,24,23,0,104428
1,0,0,0,1,9,9,0,95642
1,0,0,0,1,13,11,0,126431
0,0,1,0,1,24,15,1,161101
0,0,1,0,1,30,31,0,162221
0,1,0,0,1,8,4,0,84500
0,0,1,0,1,23,15,0,124714
0,0,1,0,1,37,37,0,151650
1,0,0,0,1,10,10,0,99247
0,0,1,0,1,23,23,0,134778
0,0,1,0,1,49,60,0,192253
0,0,1,0,1,20,9,0,116518
0,0,1,0,1,18,10,1,105450
0,0,1,0,1,33,19,0,145098
1,0,0,0,1,19,6,1,104542
0,0,1,0,1,36,38,0,151445
0,0,1,0,1,35,23,0,98053
0,0,1,0,1,13,12,0,145000
0,0,1,0,1,32,25,0,128464
0,0,1,0,1,37,15,0,137317
0,0,1,0,1,13,11,0,106231
0,0,1,0,1,17,17,1,124312
0,0,1,0,1,38,38,0,114596
0,0,1,0,1,31,31,0,162150
0,0,1,0,1,32,35,0,150376
0,0,1,0,1,15,10,0,107986
0,0,1,0,1,41,27,0,142023
0,0,1,0,1,39,33,0,128250
0,1,0,0,1,4,3,0,80139
0,0,1,0,1,27,28,0,144309
0,0,1,0,1,56,49,0,186960
0,0,1,0,1,38,38,0,93519
0,0,1,0,1,26,27,0,142500
0,0,1,0,1,22,20,0,138000
0,1,0,0,1,8,1,0,83600
0,0,1,0,1,25,21,0,145028
0,0,1,1,0,49,40,0,88709
0,0,1,1,0,39,35,0,107309
0,0,1,1,0,28,14,1,109954
0,1,0,1,0,11,4,0,78785
0,0,1,1,0,14,11,0,121946
0,0,1,1,0,23,15,1,109646
0,0,1,1,0,30,30,0,138771
1,0,0,1,0,20,17,0,81285
0,0,1,1,0,43,43,0,205500
0,0,1,1,0,43,40,0,101036
0,0,1,1,0,15,10,0,115435
1,0,0,1,0,10,1,0,108413
0,0,1,1,0,35,30,0,131950
0,0,1,1,0,33,31,0,134690
1,0,0,1,0,13,8,0,78182
0,0,1,1,0,23,20,0,110515
0,0,1,1,0,12,7,0,109707
0,0,1,1,0,30,26,0,136660
0,0,1,1,0,27,19,0,103275
0,0,1,1,0,28,26,0,103649
0,1,0,1,0,4,1,0,74856
0,1,0,1,0,6,3,0,77081
0,0,1,1,0,38,38,0,150680
1,0,0,1,0,11,8,0,104121
0,1,0,1,0,8,3,0,75996
0,0,1,1,0,27,23,0,172505
1,0,0,1,0,8,5,0,86895
0,0,1,1,0,44,44,0,105000
0,0,1,1,0,27,21,0,125192
0,0,1,1,0,15,9,0,114330
0,0,1,1,0,29,27,0,139219
0,0,1,1,0,29,15,0,109305
0,0,1,1,0,38,36,0,119450
0,0,1,1,0,33,18,0,186023
0,0,1,1,0,40,19,0,166605
0,0,1,1,0,30,19,0,151292
0,0,1,1,0,33,30,0,103106
0,0,1,1,0,31,19,0,150564
0,0,1,1,0,42,25,0,101738
0,0,1,1,0,25,15,0,95329
0,1,0,1,0,8,4,0,81035
