n,w,y,i
3.637586,0.7191227,6.582025,6.419995
5.308268,0.3012041,6.946014,6.510258
6.792345,0.3544277,7.957177,7.134891
4.043051,0.4895482,6.651572,6.40688
4.442651,0.2935472,5.648974,5.02388
6.095825,0.6622699,8.232706,7.846199
6.569481,0.5638145,8.902728,8.593042
5.932245,0.8211927,7.702105,7.047517
5.181784,0.2862766,6.71417,6.300786
6.049734,0.7886717,8.121183,7.511525
4.990433,0.0909718,7.077498,6.791222
6.340359,0.3894647,7.810758,7.052721
6.563856,0.6945567,8.786762,8.438582
6.222576,0.5573456,7.352441,6.156979
3.091043,0.7375989,5.231109,4.804021
6.854354,0.7380116,8.804925,8.327243
4.804021,0.5986563,6.874198,6.124683
5.433722,0.6277349,7.237059,6.682108
5.834811,0.363668,7.62949,7.197435
5.247024,0.9329926,7.489971,6.957498
5.02388,0.1690763,7.007601,6.74876
5.7301,0.6684952,7.474205,7.045776
5.081404,0.9588504,7.567863,7.134094
7.46451,0.5694729,9.199482,8.721602
5.117994,0.5518871,6.65544,5.894403
5.087596,0.3329387,6.309918,5.356586
4.174387,0.7455936,6.517671,6.188264
5.288267,0.6829948,7.147559,6.654152
4.219508,0.5166908,6.177944,5.78996
7.027315,0.4175188,9.029179,8.658866
4.867535,0.512363,6.746412,6.395262
4.941642,0.7351114,7.065613,6.599871
4.718499,0.4172996,6.082219,5.509388
4.204693,0.2261242,6.018593,5.652489
3.951244,0.2972515,5.641907,5.252274
6.056784,-0.0855222,7.242798,6.741701
4.990433,0.6153695,7.230563,6.766191
5.828946,0.5894193,8.648046,8.474494
5.337538,0.72857,7.396335,6.921658
3.7612,0.2090918,6.356108,6.175867
5.416101,0.6592456,7.689829,7.292337
4.70048,0.1358015,6.603944,6.248043
3.828641,0.3610134,6.837333,6.733402
7.762171,0.7748252,9.415809,8.71029
2.890372,0.5436155,5.945421,5.739793
5.501258,-0.0502197,6.350886,5.765191
5.257495,0.8383292,7.176255,6.618739
6.234411,0.8337612,8.216899,7.599401
3.688879,0.6286086,7.348588,7.090077
4.025352,0.4519851,6.461468,6.278522
5.056246,0.5197033,7.015712,6.684612
4.394449,0.6094971,5.961005,5.411646
4.454347,0.515466,5.894403,5.123964
6.025866,0.0677038,8.309677,8.028781
5.774551,0.1389515,6.768493,6.216606
4.927254,1.028584,7.077498,6.345636
4.962845,0.9877979,6.89467,6.378426
4.521789,0.659995,6.249975,5.594711
5.743003,0.8445469,7.327781,6.489205
3.332205,0.3313572,4.682131,4.094345
4.875197,0.5184302,6.924613,6.612041
2.772589,0.3629055,4.007333,3.178054
4.553877,0.4830757,6.981006,6.749931
3.951244,0.3528214,5.42495,4.828314
4.143135,0.5930637,6.495265,6.188264
5.117994,0.6153474,6.448889,6.068426
5.365976,0.1869836,7.130098,6.791222
3.951244,0.8527773,6.320768,6.040255
4.219508,0.1372011,5.351858,4.75359
4.61512,0.205161,5.669881,4.744932
4.521789,0.5020919,7.130899,6.831954
5.652489,0.6790127,7.434848,6.481577
3.7612,0.8339197,6.395262,6.021023
5.46806,0.6255096,7.568896,7.155396
5.257495,0.5170562,6.814543,6.137727
3.970292,0.6546809,6.100319,5.513429
4.510859,0.356675,5.905362,5.298317
4.85203,0.4562374,7.58172,7.443664
3.526361,0.4989912,6.744059,6.690842
4.49981,1.021651,7.719574,7.489971
4.736198,0.4622986,6.2186,5.420535
3.828641,0.4754237,5.384495,4.787492
3.78419,0.5596158,6.154858,5.902633
5.308268,0.2171852,6.967909,6.565265
3.555348,0.8873032,7.286876,6.352629
2.995732,0.1823216,4.75359,4.430817
6.198479,0.3102904,7.512071,6.926577
3.688879,0.4700036,5.945421,5.68358
4.043051,0.363668,6.104793,5.805135
3.78419,0.6102595,6.58755,6.242223
5.332719,0.7472144,7.213032,6.71174
5.010635,0.7854225,6.633318,5.869297
3.871201,-0.0870114,5.986452,5.932245
4.812184,0.6083506,7.325808,6.964136
4.820282,0.4372138,6.533789,6.089045
3.044523,0.0909718,4.762174,4.430817
5.209486,0.4324209,6.796824,6.226537
4.234107,0.0699586,5.153292,4.49981
4.574711,0.187463,6.864848,6.637258
6.44572,0.7396672,9.362203,9.033245
3.850147,0.5193003,5.624018,5.075174
4.983607,0.3147108,6.651572,6.063785
4.394449,0.4730853,6.682108,6.464588
3.367296,0.8223588,5.78996,5.099866
3.610918,0.2177235,5.442418,5.043425
4.465908,0.3298825,6.276643,5.880533
5.786897,0.7512425,7.83637,7.421776
3.258096,0.1758907,4.795791,4.454347
3.7612,-0.2646925,5.198497,4.828314
4.276666,0.4940185,6.473891,6.23637
5.843544,0.6147938,8.064951,7.756196
4.174387,0.6047362,6.96508,6.683361
4.804021,0.4270875,6.844815,6.40688
5.062595,0.0732034,7.151485,6.949856
4.26268,0.1681369,5.7301,5.438079
3.828641,0.659995,7.349231,6.933423
3.806663,0.6121781,6.073044,5.765191
3.871201,0.3334916,6.345636,6.1717
3.258096,0.592051,5.214936,4.574711
5.762052,0.6947183,8.260752,7.951207
7.406104,0.5597894,9.72973,9.427868
6.785588,0.8138137,8.929832,8.458504
6.284134,0.5733799,7.958577,7.356918
4.997212,0.6657482,7.063048,6.672033
4.59512,0.4924765,6.637258,6.177944
3.258096,0.4795731,4.859812,4.382027
5.509388,-0.0583499,6.490724,5.877736
3.044523,0.1335314,4.343805,3.688879
3.555348,0.2513144,5.293305,4.875197
6.599871,0.763409,8.970051,8.542276
4.174387,-0.0472529,6.238325,5.365976
5.755742,0.5810835,7.426549,6.867974
3.688879,0.3541718,5.697093,5.42495
5.087596,0.3105663,6.371612,5.616771
5.662961,0.5927896,7.696213,7.247793
4.543295,0.0618754,5.361292,4.584968
4.488636,0.4811769,6.173786,5.666427
4.343805,0.7437909,6.650279,6.2672
4.174387,0.4984415,6.590301,6.177944
4.406719,0.3807725,6.003887,5.225747
5.808143,0.7543015,8.269757,7.747165
3.931826,0.3308542,6.089045,5.817111
5.087596,0.5683955,7.252762,6.536692
3.663562,0.3254224,6.359574,5.998937
2.995732,0.4382549,5.849325,5.605802
5.342334,-0.2303465,7.750615,7.615791
3.713572,0.7052685,5.916202,5.69036
4.762174,0.2417724,7.47817,7.241366
4.477337,0.2231435,5.857933,5.416101
5.786897,0.0767338,8.358666,8.155362
3.912023,-0.1278334,5.786897,5.572154
5.303305,0.3526869,8.288032,8.139441
3.637586,-0.0540672,4.543295,3.89182
3.688879,0.0487901,4.430817,3.688879
5.09375,-0.24172,6.003887,5.288267
4.189655,0.1410786,5.743003,5.170484
5.09375,0.3134215,7.132498,6.818924
5.159055,0.3340062,7.629004,7.481556
4.564348,-0.0104713,5.863631,5.402678
5.327876,0.2133874,6.890609,6.302619
4.736198,0.1158318,5.983936,5.488938
3.688879,0.4054651,5.666427,5.170484
5.950643,0.3409266,7.239933,6.647688
6.075346,0.5966869,8.41671,8.065266
4.553877,0.7139812,6.586172,6.122493
6.113682,0.2815794,7.23634,6.476973
4.905275,0.3574154,7.548029,7.3473
3.367296,-0.3227734,4.787492,4.510859
3.871201,-0.1100009,4.955827,4.465908
3.850147,0.4805858,4.927254,3.828641
3.610918,0.4666195,5.455321,5.02388
3.433987,-0.0327899,5.828946,5.631212
4.969813,-0.0210534,6.790097,6.526495
8.344029,0.7557144,10.18641,9.531627
4.094345,0.3829923,5.777652,5.342334
4.955827,0.5206365,6.398595,5.700444
4.85203,0.8583968,6.558198,5.669881
5.627621,0.6165458,7.077498,6.480044
6.783325,0.6696571,8.591558,8.041413
4.304065,0.5557473,5.459586,4.543295
6.198479,0.8446811,8.389814,8.113426
6.376727,0.4541473,8.571302,8.35279
6.766191,1.079224,9.739556,9.596487
5.768321,0.651674,7.913521,7.339538
2.70805,0.8472978,5.347107,5.003946
5.587249,0.8536978,7.254178,6.536692
3.951244,0.4675969,5.575949,5.105946
4.779123,0.8155879,6.84588,6.378426
5.288267,0.4831741,7.088409,6.664409
3.526361,0.4626235,5.347107,4.882802
5.273,0.3328025,6.608001,5.996452
3.044523,0.0465201,5.758902,5.141664
4.89784,0.3491843,6.54535,6.008813
5.872118,0.4805116,7.821643,7.142036
4.158883,0.2105648,6.40688,6.052089
4.941642,0.3053816,5.703783,4.465908
4.962845,0.5136189,7.218177,6.89467
5.840641,0.4170259,7.90802,7.593878
2.833213,0.2578291,4.919981,4.369448
2.564949,0.4307829,4.330733,3.583519
4.26268,0.094029,6.74876,6.566672
6.089045,0.7985078,8.37885,7.62949
8.191463,0.7499516,9.894043,8.991811
7.896924,0.6560217,9.595942,8.845057
8.18535,0.6467997,10.03679,9.546813
5.402678,0.7285491,7.660114,7.295056
3.178054,0.2559333,6.313548,6.124683
7.903227,0.4220792,9.060796,8.098035
7.327781,0.5754463,9.423676,9.02389
5.283204,0.682943,6.953684,6.192362
5.886104,0.6763401,8.082402,7.687539
5.141664,0.5143283,7.463363,7.249215
7.545918,0.481232,9.393661,9.068892
6.161207,0.7475474,8.915432,8.386629
6.899723,0.9158874,9.180499,8.502282
5.971262,0.9091223,8.014997,7.437206
6.253829,0.8770701,7.850883,6.971669
4.564348,0.3556328,6.760415,6.484635
6.126869,0.4811315,8.32288,7.99699
4.94876,0.6895947,6.473891,5.733341
5.56452,0.5535768,7.573531,7.146772
5.552959,0.7478262,7.295056,6.630683
5.141664,0.5520686,7.298445,6.665684
5.043425,0.5249195,7.449498,7.130098
5.924256,0.4178656,8.385489,8.099251
5.877736,0.6545985,8.211211,7.937017
4.75359,0.6844891,6.98379,6.507277
5.225747,0.7248958,6.869014,6.401917
5.609472,0.4612659,7.269617,6.73578
6.562444,0.9583323,8.772301,8.270781
3.496508,0.3953128,6.309918,6.082219
6.673298,0.5822933,8.508758,7.915348
8.764366,0.4993258,9.906932,9.016392
5.379897,0.7535007,6.781058,5.948035
7.30317,0.6052171,9.407633,9.072801
6.175867,0.4627005,8.751791,8.54811
3.89182,0.5026289,6.137727,5.723585
4.727388,0.8485613,8.080237,7.911691
6.253829,0.7849547,8.143227,7.364547
5.587249,0.4601235,7.574558,7.282073
8.333991,0.2890024,9.851299,9.458528
3.178054,0.6931472,6.173786,5.978886
6.508769,0.7753657,8.868694,8.454467
5.793014,0.2892053,8.078378,7.87967
3.806663,0.5240709,6.289716,6.006353
3.871201,0.4328641,6.763885,6.590301
7.090077,0.7439196,9.426177,9.071998
3.850147,0.6607119,6.986567,6.938284
5.768321,0.7478721,7.681099,6.867974
4.007333,0.9414267,5.945421,5.303305
3.89182,0.6407792,5.83773,5.583496
3.465736,0.145182,5.099866,4.787492
5.036952,0.4964369,7.268223,6.966024
4.442651,0.4918227,6.72022,6.440947
4.867535,0.7234525,7.135687,6.824374
5.598422,0.5980222,8.229777,7.800982
4.65396,0.8056252,6.993933,6.54535
6.006353,0.3635478,7.470794,6.840547
4.744932,0.8195882,6.732211,6.152733
5.147494,0.7740839,6.698268,5.786897
6.739336,0.0047225,8.683724,8.362409
5.594711,0.6894228,7.633853,7.198931
4.934474,0.3588309,6.156979,5.342334
4.976734,0.6179776,7.159292,6.851185
4.882802,0.6931472,6.805723,6.265301
4.624973,0.6480268,6.131227,5.560682
5.568345,0.5070016,7.724005,7.433075
3.7612,0.3496737,6.184149,5.966147
4.356709,0.7246956,6.473891,5.517453
6.736967,0.8748754,8.591372,8.137103
5.09375,0.4934985,7.157735,6.641182
5.736572,0.486004,7.921898,7.578657
6.652863,0.6243847,8.525558,8.021913
5.817111,0.5979858,7.059618,6.109248
5.572154,0.4218074,7.5632,7.26403
4.969813,0.7306302,7.34601,6.988413
5.676754,0.961814,8.273592,7.845025
5.509388,0.4068137,6.993015,6.388561
5.342334,0.4717963,8.390722,8.178638
2.944439,0.4895482,4.859812,4.488636
7.235619,0.6579529,10.08976,9.682903
4.41884,0.7286539,6.383507,6.084499
5.075174,0.3409266,7.74327,7.463363
5.652489,0.963576,9.568994,9.297343
8.237743,0.6585705,10.39696,10.15456
4.736198,0.1837824,5.739793,4.890349
3.713572,0.6171613,6.063785,5.537334
6.137727,0.5885063,8.947546,8.513787
3.912023,0.5538851,5.978886,5.659482
7.579168,0.8253043,10.29364,10.06416
5.736572,0.781099,7.574558,6.854354
3.367296,1.014731,5.375278,4.736198
3.78419,0.6466271,5.693732,4.962845
6.666957,0.8757867,9.921278,9.693692
6.200509,0.1573331,6.641182,4.89784
5.438079,0.4340385,6.99485,6.594413
6.214608,0.6010319,8.501471,8.123855
3.806663,0.7472144,6.194406,5.857933
5.278115,0.5537678,6.80017,6.222576
4.189655,0.3429447,6.664409,6.419995
6.270988,0.1391864,6.677083,4.927254
4.189655,0.3429447,6.194406,5.883322
7.824046,0.6329725,9.884254,9.56149
5.521461,0.4027949,7.971086,7.681561
5.327876,0.0792956,7.008505,6.598509
6.966967,-0.3012834,8.304495,8.05706
3.091043,-0.04652,6.265301,6.244167
4.465908,0.4319317,6.40688,6.052089
5.587249,0.9200291,7.541152,6.616065
4.454347,-0.0235305,5.765191,5.32301
3.663562,0.2076394,6.345636,6.12905
3.713572,0.2182536,5.97381,5.743003
3.135494,-0.0909718,5.283204,5.117994
3.367296,0.2162231,5.620401,5.455321
5.894403,-0.0251059,8.690306,8.585786
6.322565,0.3251231,7.969012,7.575072
2.944439,1.080913,6.244167,6.09131
3.044523,0.1335314,5.966147,5.840641
6.725034,0.753136,9.572898,9.275285
6.385194,0.6914594,8.646993,8.207947
4.204693,0,5.652489,5.283204
5.225747,0.2252918,8.308938,8.112528
5.774551,0.4888467,7.451241,6.918695
4.828314,0.479954,6.933423,6.565265
4.553877,0.463403,6.006353,5.451038
4.406719,0.3639654,6.23637,5.81413
4.990433,0.5702491,6.803505,6.311735
5.537334,0.7029416,7.277938,6.689599
4.812184,0.0930904,4.941642,2.70805
3.044523,0.6190392,6.39693,5.888878
6.240276,0.5643387,7.906547,7.325149
2.639057,0.2513144,5.47227,5.332719
9.116139,0.2998319,10.99516,10.78581
6.003887,0.4669125,8.077447,7.537962
4.990433,0.3178351,7.448334,7.029088
4.75359,0.5497147,6.44572,5.916202
5.908083,0.5360483,7.830028,7.329094
7.819636,0.6822402,10.04112,9.626679
3.806663,0.778305,6.311735,5.762052
3.610918,0.5787368,6.23637,5.852202
8.180321,0.9324067,10.19664,9.477921
2.302585,0.2623642,4.543295,4.26268
4.59512,0.4737844,6.077642,5.375278
5.752573,0.4660275,7.502186,6.96508
2.564949,0.6131045,5.686975,5.552959
3.526361,0.4626235,7.133296,7.051856
3.89182,0.3708596,5.976351,5.616771
6.148468,0.6759053,8.040769,7.218177
5.356586,0.6620069,7.224025,6.698268
5.003946,0.3942164,6.72022,6.059123
4.248495,0.205852,5.968708,5.560682
6.569481,0.7112158,10.26841,9.716013
4.905275,0.1186057,5.774551,4.962845
5.720312,0.5315921,7.03966,6.278522
3.367296,0.1590647,6.104793,5.981414
2.833213,0.1112256,4.430817,3.871201
6.812345,0.5578855,8.836519,8.249313
4.644391,0.4493593,6.12905,5.541264
4.976734,-0.0863846,6.011267,5.463832
4.836282,0.1265627,7.902118,7.793174
5.407172,0.7175117,7.69257,6.786717
4.077538,0.5571916,6.710523,6.297109
5.976351,0.6423881,8.558719,8.335192
5.587249,0.7061706,8.682538,8.415382
5.241747,0.2471907,6.955593,6.336826
4.143135,0.0157484,5.894403,5.433722
5.099866,0.4013918,7.334982,7.178545
7.213768,0.8410719,9.382107,8.605387
4.644391,0.3925617,6.44572,5.996452
5.857933,0.6714857,7.539027,6.903747
4.94876,0.6643682,6.938284,6.495265
4.553877,0.1997133,6.744059,6.487684
4.70953,0.4778556,7.080027,6.802395
5.590987,0.220154,7.551187,7.132498
6.030685,0.4554756,8.341887,8.050703
5.529429,0.3732042,7.423568,7.166266
5.147494,0.1407725,6.487684,6.131227
4.077538,0.5276328,6.324359,6.030685
3.583519,1.08931,7.219642,7.011214
3.610918,0.3011051,4.624973,3.73767
4.927254,0.6674577,6.725034,5.991465
5.820083,0.6781992,7.772332,7.025538
7.25982,0.5082908,9.87411,9.700759
4.394449,0.3846743,7.805067,7.606388
5.793014,0.1123482,7.565794,7.130899
5.068904,0.8060265,7.947679,7.650645
5.46806,0.2908417,7.291656,6.883462
5.786897,0.6508543,7.643962,7.101676
4.828314,0.3811724,7.12206,6.763885
4.043051,0.4787373,6.421622,6.188264
5.225747,0.1992034,7.195937,6.890609
4.248495,0.4788926,6.25575,5.869297
4.127134,0.1213609,6.558198,6.458338
7.144407,0.0272497,8.288032,7.705263
2.484907,0.6061358,5.455321,4.941642
3.988984,0.3930426,5.631212,5.111988
5.446737,0.5546775,6.909753,6.194406
5.26269,0.2011416,7.037028,6.731018
3.258096,0.2972515,4.770685,4.127134
3.806663,0.427444,8.129175,8.101678
4.110874,0.2835753,6.648984,6.376727
4.94876,0.0618754,6.638568,6.20859
5.075174,0.2814125,6.672033,6.244167
3.663562,-0.2295744,5.252274,4.75359
2.397895,0.3746935,6.144186,6.068426
5.313206,-0.1091993,6.891626,6.669498
4.025352,-0.2186892,5.529429,5.257495
3.295837,-0.1603426,5.393628,5.347107
4.382027,0.3715636,7.509335,7.388328
5.78996,0.4960379,7.279319,6.610696
9.306014,0.8139548,11.3089,10.81066
6.866933,0.8888339,9.479909,9.060679
6.349139,0.5536038,8.815073,8.56484
6.073044,0.7192999,7.845808,7.36074
4.779123,0.4519851,6.05444,5.252274
4.983607,0.4054651,6.293419,5.7301
4.941642,0.6567795,6.553934,5.872118
6.025866,0.8263766,8.538172,8.13798
3.688879,0.5158131,5.799093,5.46806
5.420535,0.8177896,8.141481,7.825245
5.537334,0.6343663,7.155396,6.519147
6.489205,0.6654105,8.159375,7.401231
4.564348,0.4726044,6.526495,6.182085
5.411646,0.574806,7.261225,6.765039
7.254178,0.5011609,9.38463,9.037889
5.966147,0.5559461,8.780634,8.65382
3.850147,0.5443016,5.549076,4.890349
5.733341,0.4631028,7.47817,7.085064
4.828314,0.3074847,6.434546,6.033086
3.912023,0.5877866,5.525453,4.89784
4.955827,0.2699196,6.900731,6.617403
3.496508,0.1410786,5.598422,5.398163
5.347107,0.4700036,7.479864,7.045776
4.828314,0.1688986,6.956545,6.665684
5.525453,0.1649065,7.062191,6.654152
4.553877,0.328925,5.948035,5.517453
3.496508,-0.0625204,4.219508,3.526361
3.135494,0.5020919,4.691348,4.234107
2.995732,0.3001046,4.867535,4.574711
2.995732,0.0487901,4.394449,3.931826
3.496508,0.167054,4.174387,3.401197
4.248495,0.4428526,5.828946,5.01728
3.89182,-0.1076307,6.135565,5.811141
6.498282,0.4438745,8.253488,7.825645
5.826,0.4468769,7.17549,6.408529
4.844187,0.4288125,6.685861,5.966147
4.820282,0.573346,7.669495,7.519692
6.77308,0.3869888,10.32151,10.26221
6.741701,0.6570856,9.494315,9.256746
2.70805,0.1823216,5.78996,5.669881
6.533789,0.4592263,9.929399,9.705341
4.41884,0.4563567,6.037871,5.451038
4.276666,0.6505876,5.843544,5.153292
3.663562,0.3067302,5.68358,5.411646
2.995732,0.6151857,4.70048,4.025352
3.970292,0.2344007,5.811141,5.411646
3.295837,-0.2513144,5.056246,4.836282
3.89182,0.7525706,6.214608,5.9428
4.234107,0.1479201,5.192957,4.61512
3.850147,-0.0889475,4.744932,4.29046
5.46806,0.7761068,7.781973,7.332369
3.044523,-0.3364722,5.105946,5.010635
5.609472,0.3968814,6.942157,6.144186
5.47227,1.036499,7.669962,7.014814
5.231109,0.2369515,7.38461,7.122867
6.869014,0.583388,8.865594,8.628735
3.970292,0.5514966,5.488938,5.01728
3.091043,0.9343092,5.003946,4.26268
3.850147,0.4805858,7.497207,7.438384
5.56452,0.3964849,6.81564,6.2106
4.820282,-0.1198012,6.003887,5.616771
3.988984,0.5543107,6.05444,5.594711
4.532599,0.3726753,6.54535,6.249975
3.89182,0.4122448,6.006353,5.700444
3.433987,0.6435502,5.70711,5.379897
4.94876,0.5108256,7.438972,7.066467
3.806663,0.3677248,5.389072,4.905275
3.806663,0.6241543,5.31812,4.394449
3.465736,0.0307717,5.389072,5.068904
3.091043,0.4054651,5.159055,4.927254
3.73767,0.2696636,6.084499,5.83773
2.944439,0.2744368,4.61512,4.26268
3.610918,0.5787368,4.770685,3.496508
5.02388,0.4609164,6.765039,6.324359
3.135494,0.4754237,5.594711,5.278115
4.70953,0.3780661,5.866468,4.844187
4.510859,0.2076394,5.823046,5.273
3.583519,0.6359887,5.70711,5.288267
4.094345,0.5690945,6.949856,6.668228
3.78419,0.4924765,5.808143,5.26269
5.337538,0.3288887,7.46164,7.201916
3.663562,0.3617901,5.099866,4.624973
5.31812,0.954757,7.773594,7.351158
4.543295,0.0718258,5.613128,4.969813
3.258096,0.268264,4.343805,3.555348
3.850147,0.8319836,6.030685,5.655992
3.78419,0.4924765,5.598422,5.147494
3.850147,0.2607262,4.574711,3.583519
2.944439,0.4567584,5.627621,5.327876
2.890372,0.2006707,3.89182,3.401197
3.258096,0.8527773,5.583496,5.231109
3.637586,0.2942395,5.252274,4.812184
3.044523,0.1335314,4.820282,4.564348
3.583519,0.0800427,4.553877,3.713572
3.806663,0.5371429,5.820083,5.438079
2.639057,0.4519851,4.543295,4.127134
4.127134,0.1903538,5.192957,4.65396
2.484907,0.1541506,5.351858,5.198497
3.218876,0.5877866,5.411646,5.087596
7.387709,0.1416973,9.494015,9.074636
4.158883,0.4158279,5.802118,5.351858
4.276666,0.3083014,6.12905,5.666427
4.174387,-0.1139443,5.662961,5.351858
2.833213,0.7503057,5.087596,4.691348
5.204007,0.3907047,6.784457,6.251904
4.382027,0.4301578,5.872118,5.087596
3.637586,0.5055485,5.645447,5.198497
3.258096,0.3254224,6.542472,6.342122
4.718499,0.4744579,6.665684,6.343881
5.749393,0.4889317,7.489412,6.996682
3.295837,0.0363676,5.030438,4.736198
4.477337,0.3429447,6.535241,6.1717
3.295837,0.4177352,5.843544,5.416101
4.89784,0.0148151,7.226936,7.046647
2.397895,-0.2006707,4.025352,3.637586
4.158883,0.0155042,7.048387,6.925595
2.890372,0.2451225,4.941642,4.510859
2.639057,-0.1541507,4.234107,3.951244
3.912023,0.4446858,6.295266,5.908083
6.398595,0.6322626,8.545975,8.119994
3.295837,0.5108256,4.682131,3.931826
2.944439,0,4.644391,4.248495
5.991465,0.4668738,7.53583,6.949856
3.951244,0.4432054,7.213768,7.044033
4.356709,0.1758907,6.142037,5.802118
4.85203,0.1784077,7.465083,7.32449
4.553877,0.3733768,6.536692,5.820083
3.78419,0.4353181,5.030438,4.174387
3.091043,0,5.996452,5.902633
3.091043,-0.04652,4.828314,4.521789
3.091043,-0.1466035,4.564348,4.158883
3.663562,0.3968814,5.746203,5.342334
3.367296,-0.189242,5.036952,4.787492
3.73767,0.7949298,6.107023,5.669881
5.545177,0.3949938,7.839526,7.367077
5.57973,0.314673,6.473891,5.823046
2.772589,0.4054651,5.438079,5.231109
